117,"t","2016 Organic Survey: Released September 20, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
117,"t","Table 13.  Certified Organic Field Crops and Hay Harvested and Value of Sales:  2016 (continued)"
117,"t","[For meaning of abbreviations and symbols, see introductory text.]"
117,"h","","","","","","",""
117,"h","","Harvested","Harvested","Harvested","Value of sales","Value of sales","Value of sales"
117,"h","","","","","","",""
117,"h","Crop and geographic area","Farms","Acres","Quantity","Farms","Quantity","Dollars"
117,"h","","","","","","",""
117,"d","OTHER FIELD CROPS (SEE TEXT) - Con.",,,,,,
117,"d","",,,,,,
117,"d","New York",4,150,"(X)",2,"(X)","(D)"
117,"d","North Dakota",6,1484,"(X)",6,"(X)",694245
117,"d","Ohio",1,"(D)","(X)",1,"(X)","(D)"
117,"d","Oregon",13,276,"(X)",13,"(X)",348213
117,"d","Texas",2,"(D)","(X)",2,"(X)","(D)"
117,"d","",,,,,,
117,"d","Washington",1,"(D)","(X)",1,"(X)","(D)"
117,"d","Wisconsin",2,"(D)","(X)",2,"(X)","(D)"
117,"c",""
