79,t,"2015 Organic Survey: Released September 15, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture.",,,,,,
79,t,Table 9.  Certified Organic Field Crops Harvested and Value of Sales:  2015 (continued),,,,,,
79,t,"[For meaning of abbreviations and symbols, see introductory text.]",,,,,,
79,h,,,,,,,
79,h,,Harvested,Harvested,Harvested,Value of sales,Value of sales,Value of sales
79,h,,,,,,,
79,h,Crop and geographic area,Farms,Acres,Quantity,Farms,Quantity,Dollars
79,h,,,,,,,
79,d,HAYLAGE OR GREENCHOP FROM ALFALFA,,,,,,
79,d, AND ALFALFA MIXTURES (TONS) - Con.,,,,,,
79,d,,,,,,,
79,d,Washington,3,(D),1312,-,-,-
79,d,Wisconsin,204,19038,111560,52,13477,1535756
79,d,,,,,,,
79,d,"HAYLAGE, OTHER SILAGE OR",,,,,,
79,d, GREENCHOP (TONS),,,,,,
79,d,,,,,,,
79,d,United States,845,106452,589959,278,112501,8935067
79,d,,,,,,,
79,d,Arizona,1,(D),(D),-,-,-
79,d,California,50,11039,129408,24,(D),(D)
79,d,Colorado,3,(D),(D),2,(D),(D)
79,d,Connecticut,3,39,66,3,9,(D)
79,d,Delaware,1,(D),(D),1,(D),(D)
79,d,,,,,,,
79,d,Idaho,1,(D),(D),1,(D),(D)
79,d,Illinois,6,(D),(D),2,(D),(D)
79,d,Indiana,37,1577,6013,4,(D),(D)
79,d,Iowa,24,989,5098,7,1207,120295
79,d,Kansas,3,(D),1065,3,64,(D)
79,d,,,,,,,
79,d,Kentucky,3,62,380,2,(D),(D)
79,d,Maine,48,7016,34860,16,1646,113044
79,d,Maryland,8,362,1508,2,(D),(D)
79,d,Massachusetts,5,(D),(D),5,(D),(D)
79,d,Michigan,8,129,550,3,95,10500
79,d,,,,,,,
79,d,Minnesota,30,2837,18103,5,576,49034
79,d,Missouri,8,643,3003,3,(D),(D)
79,d,Nevada,1,(D),(D),-,-,-
79,d,New Hampshire,11,(D),2255,3,144,(D)
79,d,New York,148,24141,80948,51,9998,770018
79,d,,,,,,,
79,d,North Carolina,5,285,2826,2,(D),(D)
79,d,Ohio,50,2043,9340,15,1627,208379
79,d,Oregon,13,3673,28481,8,(D),(D)
79,d,Pennsylvania,85,8290,32365,31,4540,578049
79,d,South Dakota,5,(D),(D),4,356,43998
79,d,,,,,,,
79,d,Texas,1,(D),(D),1,(D),(D)
79,d,Vermont,126,22697,114532,49,(D),(D)
79,d,Virginia,6,(D),(D),2,(D),(D)
79,d,Washington,28,(D),22604,13,3099,187981
79,d,Wisconsin,127,11338,65932,16,3334,458494
79,d,,,,,,,
79,d,"HERBS, DRIED (POUNDS)",,,,,,
79,d,,,,,,,
79,d,United States,47,1512,2678857,47,2674627,14399220
79,d,,,,,,,
79,d,California,14,80,92430,14,92352,1520245
79,d,Colorado,1,(D),(D),1,(D),(D)
79,d,Florida,3,90,4500,3,4500,157500
79,d,Georgia,2,(D),(D),2,(D),(D)
79,d,Hawaii,2,(D),(D),2,(D),(D)
79,d,,,,,,,
79,d,Illinois,1,(D),(D),1,(D),(D)
79,d,Kentucky,1,(D),(D),1,(D),(D)
79,d,Maine,1,(D),(D),1,(D),(D)
79,d,Massachusetts,2,(D),(D),2,(D),(D)
79,d,Missouri,1,(D),(D),1,(D),(D)
79,d,,,,,,,
79,d,New York,1,(D),(D),1,(D),(D)
79,d,North Carolina,3,(D),(D),3,(D),(D)
79,d,Oregon,4,100,280000,4,280000,1540000
79,d,South Carolina,1,(D),(D),1,(D),(D)
79,d,Washington,6,(D),(D),6,(D),(D)
79,c,,,,,,,
79,c,#NAME?,,,,,,
