86,"t","2011 Certified Organic Production Survey: Released October 4, 2012, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
86,"t","Table 6.  Organic Field Crops Harvested and Value of Sales from Certified Organic Farms - United States and States:  2011 (Continued)"
86,"h","","","","","","",""
86,"h","","Sales - Con.","Sales - Con.","Sales - Con.","Sales - Con.","Sales - Con.","Sales - Con."
86,"h","","","","","","",""
86,"h","","Sold as certified organic","Sold as certified organic","Sold as certified organic","Sold as conventional","Sold as conventional","Sold as conventional"
86,"h","","","","","","",""
86,"h","Crop and geographic area","Farms","Quantity","Dollars","Farms","Quantity","Dollars"
86,"h","","","","","","",""
86,"d","CORN FOR GRAIN OR SEED (BUSHELS) - Con.",,,,,,
86,"d","",,,,,,
86,"d","New Jersey",-,-,-,-,-,-
86,"d","New York",88,"(D)","(D)",3,"(D)","(D)"
86,"d","North Carolina",7,"(D)","(D)",1,"(D)","(D)"
86,"d","North Dakota",5,46869,462268,-,-,-
86,"d","Ohio",82,410702,4532511,7,2517,15897
86,"d","",,,,,,
86,"d","Oregon",9,"(D)","(D)",1,"(D)","(D)"
86,"d","Pennsylvania",47,"(D)","(D)",2,"(D)","(D)"
86,"d","South Carolina",1,"(D)","(D)",-,-,-
86,"d","South Dakota",19,217450,2301646,-,-,-
86,"d","Tennessee",3,10561,"(D)",-,-,-
86,"d","",,,,,,
86,"d","Texas",4,64073,648149,-,-,-
86,"d","Vermont",1,"(D)","(D)",-,-,-
86,"d","Virginia",2,"(D)","(D)",-,-,-
86,"d","Washington",9,168314,1961546,-,-,-
86,"d","West Virginia",-,-,-,-,-,-
86,"d","",,,,,,
86,"d","Wisconsin",184,633455,6547065,11,14900,70252
86,"d","Wyoming",-,-,-,-,-,-
86,"d","",,,,,,
86,"d","CORN FOR SILAGE OR",,,,,,
86,"d"," GREENCHOP (TONS)",,,,,,
86,"d","",,,,,,
86,"d","United States",139,"(D)","(D)",1,"(D)","(D)"
86,"d","",,,,,,
86,"d","Alabama",-,-,-,-,-,-
86,"d","California",3,2929,161103,-,-,-
86,"d","Colorado",4,10165,546576,-,-,-
86,"d","Delaware",2,"(D)","(D)",-,-,-
86,"d","Hawaii",1,"(D)","(D)",-,-,-
86,"d","",,,,,,
86,"d","Idaho",1,"(D)","(D)",-,-,-
86,"d","Illinois",-,-,-,-,-,-
86,"d","Indiana",6,517,36170,-,-,-
86,"d","Iowa",4,253,19074,-,-,-
86,"d","Kentucky",1,"(D)","(D)",-,-,-
86,"d","",,,,,,
86,"d","Louisiana",1,"(D)","(D)",-,-,-
86,"d","Maine",1,"(D)","(D)",-,-,-
86,"d","Maryland",-,-,-,-,-,-
86,"d","Michigan",1,"(D)","(D)",-,-,-
86,"d","Minnesota",12,7390,257745,-,-,-
86,"d","",,,,,,
86,"d","Missouri",2,"(D)","(D)",-,-,-
86,"d","New Mexico",-,-,-,-,-,-
86,"d","New York",28,12465,304967,-,-,-
86,"d","North Carolina",2,"(D)","(D)",-,-,-
86,"d","North Dakota",-,-,-,-,-,-
86,"d","",,,,,,
86,"d","Ohio",9,1297,94584,-,-,-
86,"d","Oregon",3,3688,181855,-,-,-
86,"d","Pennsylvania",16,5627,459156,-,-,-
86,"d","South Dakota",1,"(D)","(D)",-,-,-
86,"d","Texas",1,"(D)","(D)",-,-,-
86,"d","",,,,,,
86,"d","Vermont",5,629,44045,-,-,-
86,"d","Virginia",4,3045,225520,-,-,-
86,"d","Washington",8,5362,247325,-,-,-
86,"c",""
86,"c","See footnote(s) at end of table.","--continued"
