Pesticide Name,Commodity,Number of Samples Analyzed,Number of Samples with Detects,Pct of Samples with Detects,Min Detect,Max Detect,LOD Range,pp_,EPA Tolerance (ppm)
"Acibenzolar S methyl","Apple Juice","379","0"," "," "," ","0.02","M","0.05"
"Acibenzolar S methyl","Butter","756","0"," "," "," ","0.015","M","NT"
"Acibenzolar S methyl","Cauliflower","532","0"," "," "," ","0.0038","M","1.0"
"Acibenzolar S methyl","Celery","362","0"," "," "," ","0.012","M","0.25"
"Acibenzolar S methyl","Fish, Salmon","58","0"," "," "," ","0.02","M","NA"
"Acibenzolar S methyl","Green Beans","378","0"," "," "," ","0.02","M","NT"
"Acibenzolar S methyl","Infant Formula, Dairy-based","177","0"," "," "," ","0.0038 - 0.012","M","NT"
"Acibenzolar S methyl","Mushrooms","503","0"," "," "," ","0.02","M","NT"
"Acibenzolar S methyl","Summer Squash","346","0"," "," "," ","0.1","M","2.0"
"Acrinathrin","Apple Juice","379","0"," "," "," ","0.01","M","NT"
"Acrinathrin","Fish, Salmon","352","0"," "," "," ","0.01","M","NA"
"Acrinathrin","Grape Juice","176","0"," "," "," ","0.01","M","NT"
"Alachlor","Butter","756","0"," "," "," ","0.0015","M","NT"
"Alachlor","Cauliflower","532","0"," "," "," ","0.005","M","NT"
"Alachlor","Celery","708","0"," "," "," ","0.005","M","NT"
"Alachlor","Green Beans","378","0"," "," "," ","0.02","M","NT"
"Alachlor","Infant Formula, Dairy-based","177","0"," "," "," ","0.0015","M","0.02"
"Alachlor","Infant Formula, Soy-based","179","0"," "," "," ","0.005","M","1.0"
"Alachlor","Plums","507","0"," "," "," ","0.005","M","NT"
"Alachlor","Raspberries","351","0"," "," "," ","0.005","M","NT"
"Alachlor","Raspberries, Frozen","10","0"," "," "," ","0.005","M","NT"
"Alachlor","Summer Squash","363","0"," "," "," ","0.005","M","NT"
"Alachlor","Water, Finished","50","0"," "," "," ","7.8 - 10","T",""
"Alachlor","Water, Groundwater","14","0"," "," "," ","7.8 - 10","T",""
"Alachlor","Water, Untreated","50","0"," "," "," ","7.8 - 10","T",""
"Alachlor ethanesulfonic acid (ESA)","Water, Finished","50","40","80","2.8","25","1.7 - 12.5","T",""
"Alachlor ethanesulfonic acid (ESA)","Water, Groundwater","14","2","14.3","14","778","1.7 - 12.5","T",""
"Alachlor ethanesulfonic acid (ESA)","Water, Untreated","50","40","80","2.8","30","1.7 - 12.5","T",""
"Alachlor oxanilic acid (OA)","Water, Finished","50","32","64","1.02","12","0.61 - 10","T",""
"Alachlor oxanilic acid (OA)","Water, Groundwater","14","1","7.1","2.9","2.9","0.61 - 10","T",""
"Alachlor oxanilic acid (OA)","Water, Untreated","50","31","62","1.02","20","0.61 - 10","T",""
"Aldicarb","Apple Juice","114","0"," "," "," ","0.01 - 0.02","M","NT"
"Aldicarb","Baby Food - Applesauce","379","0"," "," "," ","0.01","M","NT"
"Aldicarb","Bananas","708","0"," "," "," ","0.02","M","NT"
"Aldicarb","Broccoli","708","0"," "," "," ","0.01","M","NT"
"Aldicarb","Butter","756","0"," "," "," ","0.0011 - 0.0036","M","NT"
"Aldicarb","Cauliflower","532","0"," "," "," ","0.001 - 0.003","M","NT"
"Aldicarb","Celery","708","0"," "," "," ","0.003 - 0.01","M","NT"
"Aldicarb","Infant Formula, Dairy-based","177","0"," "," "," ","0.001","M","NT"
"Aldicarb","Infant Formula, Soy-based","179","0"," "," "," ","0.01","M","0.02"
"Aldicarb","Mushrooms","266","0"," "," "," ","0.01 - 0.03","M","NT"
"Aldicarb","Nectarines","543","0"," "," "," ","0.003","M","NT"
"Aldicarb","Peaches","285","0"," "," "," ","0.01","M","NT"
"Aldicarb","Plums","507","0"," "," "," ","0.01","M","NT"
"Aldicarb","Raspberries","652","0"," "," "," ","0.01 - 0.02","M","NT"
"Aldicarb","Raspberries, Frozen","53","0"," "," "," ","0.01 - 0.02","M","NT"
"Aldicarb","Summer Squash","363","0"," "," "," ","0.01","M","NT"
"Aldicarb","Winter Squash","187","0"," "," "," ","0.006","M","NT"
"Aldicarb sulfone","Apple Juice","379","0"," "," "," ","0.003","M","NT"
"Aldicarb sulfone","Baby Food - Applesauce","379","0"," "," "," ","0.01","M","NT"
"Aldicarb sulfone","Bananas","708","0"," "," "," ","0.025","M","NT"
"Aldicarb sulfone","Broccoli","708","0"," "," "," ","0.01","M","NT"
"Aldicarb sulfone","Butter","707","0"," "," "," ","0.0036 - 0.024","M","NT"
"Aldicarb sulfone","Cauliflower","516","0"," "," "," ","0.01 - 0.02","M","NT"
"Aldicarb sulfone","Celery","708","0"," "," "," ","0.003 - 0.01","M","NT"
"Aldicarb sulfone","Fish, Salmon","88","0"," "," "," ","0.005","M","NA"
"Aldicarb sulfone","Grape Juice","176","0"," "," "," ","0.005","M","NT"
"Aldicarb sulfone","Infant Formula, Dairy-based","177","0"," "," "," ","0.003 - 0.01","M","NT"
"Aldicarb sulfone","Infant Formula, Soy-based","179","0"," "," "," ","0.01","M","0.02"
"Aldicarb sulfone","Mushrooms","532","0"," "," "," ","0.003 - 0.005","M","NT"
"Aldicarb sulfone","Nectarines","543","0"," "," "," ","0.05","M","NT"
"Aldicarb sulfone","Peaches","285","0"," "," "," ","0.01","M","NT"
"Aldicarb sulfone","Plums","507","0"," "," "," ","0.01","M","NT"
"Aldicarb sulfone","Raspberries","652","0"," "," "," ","0.01 - 0.025","M","NT"
"Aldicarb sulfone","Raspberries, Frozen","53","0"," "," "," ","0.01 - 0.025","M","NT"
"Aldicarb sulfone","Summer Squash","363","0"," "," "," ","0.01","M","NT"
"Aldicarb sulfone","Water, Finished","50","0"," "," "," ","4.5 - 7.6","T",""
"Aldicarb sulfone","Water, Groundwater","14","0"," "," "," ","4.5 - 7.6","T",""
"Aldicarb sulfone","Water, Untreated","50","0"," "," "," ","4.5 - 7.6","T",""
"Aldicarb sulfone","Winter Squash","187","0"," "," "," ","0.006","M","NT"
"Aldicarb sulfoxide","Apple Juice","379","0"," "," "," ","0.003","M","NT"
"Aldicarb sulfoxide","Baby Food - Applesauce","379","0"," "," "," ","0.01","M","NT"
"Aldicarb sulfoxide","Bananas","708","0"," "," "," ","0.05","M","NT"
"Aldicarb sulfoxide","Broccoli","708","0"," "," "," ","0.01","M","NT"
"Aldicarb sulfoxide","Butter","756","0"," "," "," ","0.0022 - 0.007","M","NT"
"Aldicarb sulfoxide","Cauliflower","532","0"," "," "," ","0.006","M","NT"
"Aldicarb sulfoxide","Celery","708","0"," "," "," ","0.0018 - 0.01","M","NT"
"Aldicarb sulfoxide","Fish, Salmon","29","0"," "," "," ","0.005","M","NA"
"Aldicarb sulfoxide","Grape Juice","176","0"," "," "," ","0.005","M","NT"
"Aldicarb sulfoxide","Infant Formula, Dairy-based","177","0"," "," "," ","0.0018 - 0.006","M","NT"
"Aldicarb sulfoxide","Infant Formula, Soy-based","179","0"," "," "," ","0.01","M","0.02"
"Aldicarb sulfoxide","Mushrooms","532","0"," "," "," ","0.003 - 0.005","M","NT"
"Aldicarb sulfoxide","Nectarines","543","0"," "," "," ","0.05","M","NT"
"Aldicarb sulfoxide","Peaches","285","0"," "," "," ","0.01","M","NT"
"Aldicarb sulfoxide","Plums","507","0"," "," "," ","0.01","M","NT"
"Aldicarb sulfoxide","Raspberries","652","0"," "," "," ","0.01 - 0.05","M","NT"
"Aldicarb sulfoxide","Raspberries, Frozen","53","0"," "," "," ","0.01 - 0.05","M","NT"
"Aldicarb sulfoxide","Summer Squash","363","0"," "," "," ","0.01","M","NT"
"Aldicarb sulfoxide","Water, Finished","50","0"," "," "," ","15","T",""
"Aldicarb sulfoxide","Water, Groundwater","14","0"," "," "," ","15","T",""
"Aldicarb sulfoxide","Water, Untreated","50","0"," "," "," ","15","T",""
"Aldicarb sulfoxide","Winter Squash","187","0"," "," "," ","0.006","M","NT"
"Aldrin","Apple Juice","379","0"," "," "," ","0.01","M","0.03 AL"
"Aldrin","Baby Food - Applesauce","379","0"," "," "," ","0.001","M","0.03 AL"
"Aldrin","Baby Food - Peas","378","0"," "," "," ","0.02","M","0.03 AL"
"Aldrin","Bananas","708","0"," "," "," ","0.04","M","0.02 AL"
"Aldrin","Broccoli","707","0"," "," "," ","0.005","M","0.03 AL"
"Aldrin","Butter","756","0"," "," "," ","0.0011","M","0.3 AL"
"Aldrin","Carrots","712","0"," "," "," ","0.002","M","0.1 AL"
"Aldrin","Cauliflower","532","0"," "," "," ","0.001","M","0.03 AL"
"Aldrin","Celery","708","0"," "," "," ","0.001 - 0.005","M","0.03 AL"
"Aldrin","Fish, Salmon","352","0"," "," "," ","0.003 - 0.01","M","0.3 AL"
"Aldrin","Grape Juice","176","0"," "," "," ","0.003","M","0.05 AL"
"Aldrin","Green Beans","378","0"," "," "," ","0.01","M","0.05 AL"
"Aldrin","Infant Formula, Soy-based","179","0"," "," "," ","0.005","M","0.05 AL"
"Aldrin","Mushrooms","532","0"," "," "," ","0.01","M","NT"
"Aldrin","Nectarines","543","0"," "," "," ","0.002","M","0.3 AL"
"Aldrin","Peaches","285","0"," "," "," ","0.005","M","0.02 AL"
"Aldrin","Plums","507","0"," "," "," ","0.005","M","0.3 AL"
"Aldrin","Raspberries","652","0"," "," "," ","0.005 - 0.04","M","0.05 AL"
"Aldrin","Raspberries, Frozen","53","0"," "," "," ","0.005 - 0.04","M","0.05 AL"
"Aldrin","Summer Squash","709","0"," "," "," ","0.005 - 0.02","M","0.1 AL"
"Aldrin","Water, Finished","43","0"," "," "," ","9.6","T",""
"Aldrin","Water, Groundwater","2","0"," "," "," ","9.6","T",""
"Aldrin","Water, Untreated","43","0"," "," "," ","9.6","T",""
"Aldrin","Winter Squash","187","0"," "," "," ","0.003","M","0.1 AL"
"Allethrin","Apple Juice","346","0"," "," "," ","0.025","M","EX"
"Allethrin","Baby Food - Applesauce","357","0"," "," "," ","0.02","M","EX"
"Allethrin","Baby Food - Peas","378","0"," "," "," ","0.1","M","EX"
"Allethrin","Bananas","708","0"," "," "," ","0.08","M","EX"
"Allethrin","Broccoli","707","0"," "," "," ","0.02","M","EX"
"Allethrin","Carrots","712","0"," "," "," ","0.008","M","EX"
"Allethrin","Celery","346","0"," "," "," ","0.02","M","EX"
"Allethrin","Fish, Salmon","59","0"," "," "," ","0.025","M","EX"
"Allethrin","Green Beans","378","0"," "," "," ","0.05","M","EX"
"Allethrin","Infant Formula, Soy-based","179","0"," "," "," ","0.02","M","EX"
"Allethrin","Mushrooms","502","0"," "," "," ","0.025","M","EX"
"Allethrin","Nectarines","543","0"," "," "," ","0.008","M","EX"
"Allethrin","Peaches","285","0"," "," "," ","0.02","M","EX"
"Allethrin","Plums","507","0"," "," "," ","0.02","M","EX"
"Allethrin","Raspberries","652","0"," "," "," ","0.02 - 0.08","M","EX"
"Allethrin","Raspberries, Frozen","53","0"," "," "," ","0.02 - 0.08","M","EX"
"Allethrin","Summer Squash","709","0"," "," "," ","0.02 - 0.1","M","EX"
"Allethrin","Winter Squash","187","0"," "," "," ","0.012","M","EX"
"Ametoctradin","Celery","346","0"," "," "," ","0.0025","M","40.0"
"Ametoctradin","Green Beans","378","0"," "," "," ","0.001","M","NT"
"Ametoctradin","Infant Formula, Soy-based","179","0"," "," "," ","0.0025","M","NT"
"Ametoctradin","Plums","507","0"," "," "," ","0.0025","M","NT"
"Ametoctradin","Raspberries","351","0"," "," "," ","0.0025","M","NT"
"Ametoctradin","Raspberries, Frozen","10","0"," "," "," ","0.0025","M","NT"
"Ametoctradin","Summer Squash","709","5","0.7","0.0067","0.034","0.0025 - 0.005","M","3.0"
"Ametryn","Baby Food - Applesauce","379","0"," "," "," ","0.01","M","NT"
"Ametryn","Celery","346","0"," "," "," ","0.005","M","NT"
"Ametryn","Infant Formula, Soy-based","179","0"," "," "," ","0.005","M","NT"
"Ametryn","Peaches","285","0"," "," "," ","0.01","M","NT"
"Ametryn","Plums","507","0"," "," "," ","0.005","M","NT"
"Ametryn","Raspberries","351","0"," "," "," ","0.005","M","NT"
"Ametryn","Raspberries, Frozen","10","0"," "," "," ","0.005","M","NT"
"Ametryn","Summer Squash","363","0"," "," "," ","0.005","M","NT"
"Ametryn","Winter Squash","187","0"," "," "," ","0.0045","M","NT"
"Aminopyralid","Water, Finished","43","0"," "," "," ","4.5","T",""
"Aminopyralid","Water, Groundwater","2","0"," "," "," ","4.5","T",""
"Aminopyralid","Water, Untreated","43","0"," "," "," ","4.5","T",""
"Atrazine","Apple Juice","379","0"," "," "," ","0.002","M","NT"
"Atrazine","Baby Food - Applesauce","357","0"," "," "," ","0.001","M","NT"
"Atrazine","Broccoli","707","0"," "," "," ","0.005","M","NT"
"Atrazine","Butter","756","0"," "," "," ","0.0036 - 0.0072","M","NT"
"Atrazine","Cauliflower","532","0"," "," "," ","0.003","M","NT"
"Atrazine","Celery","708","0"," "," "," ","0.001 - 0.005","M","0.25"
"Atrazine","Fish, Salmon","352","0"," "," "," ","0.002","M","NA"
"Atrazine","Grape Juice","148","0"," "," "," ","0.002","M","NT"
"Atrazine","Infant Formula, Dairy-based","177","0"," "," "," ","0.001","M","0.02"
"Atrazine","Infant Formula, Soy-based","179","0"," "," "," ","0.005","M","NT"
"Atrazine","Mushrooms","532","0"," "," "," ","0.002","M","NT"
"Atrazine","Peaches","285","0"," "," "," ","0.005","M","NT"
"Atrazine","Plums","507","0"," "," "," ","0.005","M","NT"
"Atrazine","Raspberries","351","0"," "," "," ","0.005","M","NT"
"Atrazine","Raspberries, Frozen","10","0"," "," "," ","0.005","M","NT"
"Atrazine","Summer Squash","363","0"," "," "," ","0.005","M","NT"
"Atrazine","Water, Finished","50","50","100","2.4","290","0.66 - 10","T",""
"Atrazine","Water, Groundwater","14","2","14.3","41","86","0.66 - 10","T",""
"Atrazine","Water, Untreated","50","50","100","2.7","580","0.66 - 10","T",""
"Atrazine","Winter Squash","187","0"," "," "," ","0.003","M","NT"
"Avermectin","Carrots","712","0"," "," "," ","0.06","M","0.01"
"Avermectin","Nectarines","543","0"," "," "," ","0.05","M","0.09"
"Azinphos ethyl","Celery","346","0"," "," "," ","0.005","M","NT"
"Azinphos ethyl","Infant Formula, Soy-based","179","0"," "," "," ","0.005","M","NT"
"Azinphos ethyl","Plums","507","0"," "," "," ","0.005","M","NT"
"Azinphos ethyl","Raspberries","351","0"," "," "," ","0.005","M","NT"
"Azinphos ethyl","Raspberries, Frozen","10","0"," "," "," ","0.005","M","NT"
"Azinphos ethyl","Summer Squash","363","0"," "," "," ","0.005","M","NT"
"Azinphos ethyl","Winter Squash","187","0"," "," "," ","0.003","M","NT"
"Azinphos methyl","Apple Juice","379","0"," "," "," ","0.003","M","1.5"
"Azinphos methyl","Baby Food - Applesauce","358","0"," "," "," ","0.004","M","1.5"
"Azinphos methyl","Baby Food - Peas","378","0"," "," "," ","0.09","M","NT"
"Azinphos methyl","Bananas","708","0"," "," "," ","0.004","M","NT"
"Azinphos methyl","Butter","756","0"," "," "," ","0.0014","M","NT"
"Azinphos methyl","Carrots","712","0"," "," "," ","0.009","M","NT"
"Azinphos methyl","Cauliflower","532","0"," "," "," ","0.012","M","NT"
"Azinphos methyl","Celery","708","0"," "," "," ","0.005 - 0.012","M","NT"
"Azinphos methyl","Fish, Salmon","294","0"," "," "," ","0.01","M","NA"
"Azinphos methyl","Grape Juice","176","0"," "," "," ","0.01","M","NT"
"Azinphos methyl","Green Beans","378","0"," "," "," ","0.02","M","NT"
"Azinphos methyl","Infant Formula, Dairy-based","177","0"," "," "," ","0.012","M","NT"
"Azinphos methyl","Infant Formula, Soy-based","179","0"," "," "," ","0.005","M","NT"
"Azinphos methyl","Mushrooms","532","0"," "," "," ","0.003 - 0.01","M","NT"
"Azinphos methyl","Nectarines","543","3","0.6","0.008","0.0796","0.005","M","NT"
"Azinphos methyl","Peaches","285","0"," "," "," ","0.02","M","2.0"
"Azinphos methyl","Plums","507","0"," "," "," ","0.005","M","2.0"
"Azinphos methyl","Raspberries","652","0"," "," "," ","0.004 - 0.005","M","2.0"
"Azinphos methyl","Raspberries, Frozen","53","1","1.9","0.0079","0.0079","0.004 - 0.005","M","2.0"
"Azinphos methyl","Summer Squash","709","0"," "," "," ","0.005 - 0.09","M","NT"
"Azinphos methyl","Water, Finished","43","0"," "," "," ","10","T",""
"Azinphos methyl","Water, Groundwater","2","0"," "," "," ","10","T",""
"Azinphos methyl","Water, Untreated","43","0"," "," "," ","10","T",""
"Azinphos methyl","Winter Squash","187","0"," "," "," ","0.003","M","NT"
"Azinphos methyl oxygen analog","Apple Juice","379","0"," "," "," ","0.01","M","1.5"
"Azinphos methyl oxygen analog","Baby Food - Peas","378","0"," "," "," ","0.015","M","NT"
"Azinphos methyl oxygen analog","Bananas","708","0"," "," "," ","0.005","M","NT"
"Azinphos methyl oxygen analog","Carrots","712","0"," "," "," ","0.008","M","NT"
"Azinphos methyl oxygen analog","Celery","346","0"," "," "," ","0.01","M","NT"
"Azinphos methyl oxygen analog","Fish, Salmon","352","1","0.3","0.045","0.045","0.01","M","NA"
"Azinphos methyl oxygen analog","Grape Juice","176","0"," "," "," ","0.01","M","NT"
"Azinphos methyl oxygen analog","Green Beans","378","0"," "," "," ","0.003","M","NT"
"Azinphos methyl oxygen analog","Infant Formula, Soy-based","147","0"," "," "," ","0.01","M","NT"
"Azinphos methyl oxygen analog","Mushrooms","532","0"," "," "," ","0.01","M","NT"
"Azinphos methyl oxygen analog","Nectarines","543","0"," "," "," ","0.001","M","NT"
"Azinphos methyl oxygen analog","Plums","507","0"," "," "," ","0.01","M","2.0"
