162,"t","Organics Survey: Released February 1, 2010, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
162,"t","Table 26.  Organic Field Crops Harvested from Certified Organic Farms:  2008 - Con."
162,"t","[For meaning of abbreviations and symbols, see introductory text]"
162,"h","","","","","",""
162,"h","","Harvested","Harvested","Harvested","Value of sales","Value of sales"
162,"h","","","","","",""
162,"h","Crop and geographic area","Farms","Acres","Quantity","Farms","Dollars"
162,"h","","","","","",""
162,"d","OTHER FIELD CROPS (POUNDS)",,,,,
162,"d"," (SEE TEXT)",,,,,
162,"d","",,,,,
162,"d","United States ",392,27922,57433499,360,26586198
162,"d","",,,,,
162,"d","Arizona ",2,"(D)","(D)",2,"(D)"
162,"d","California ",12,"(D)","(D)",12,"(D)"
162,"d","Colorado ",1,"(D)","(D)",1,"(D)"
162,"d","Hawaii ",18,84,607462,18,1225983
162,"d","Idaho ",3,"(D)",30632,3,"(D)"
162,"d","",,,,,
162,"d","Illinois ",2,"(D)","(D)",1,"(D)"
162,"d","Indiana ",1,"(D)","(D)",1,"(D)"
162,"d","Iowa ",9,224,232338,8,97912
162,"d","Kansas ",2,"(D)","(D)",2,"(D)"
162,"d","Kentucky ",14,46,82650,14,136196
162,"d","",,,,,
162,"d","Maine ",5,39,44270,5,12113
162,"d","Maryland ",2,"(D)","(D)",2,"(D)"
162,"d","Michigan ",41,"(D)","(D)",41,"(D)"
162,"d","Minnesota ",19,1354,6411883,15,270980
162,"d","Missouri ",2,"(D)","(D)",2,"(D)"
162,"d","",,,,,
162,"d","Montana ",2,"(D)","(D)",2,"(D)"
162,"d","Nebraska ",6,520,633777,6,263766
162,"d","New Jersey ",1,"(D)","(D)",1,"(D)"
162,"d","New York ",65,"(D)","(D)",59,"(D)"
162,"d","North Carolina ",18,"(D)","(D)",18,"(D)"
162,"d","",,,,,
162,"d","North Dakota ",4,308,747382,4,329660
162,"d","Ohio ",57,2453,"(D)",47,"(D)"
162,"d","Oregon ",17,"(D)","(D)",17,"(D)"
162,"d","Pennsylvania ",28,"(D)","(D)",28,"(D)"
162,"d","Tennessee ",2,"(D)","(D)",2,"(D)"
162,"d","",,,,,
162,"d","Texas ",5,"(D)","(D)",5,"(D)"
162,"d","Utah ",2,"(D)","(D)",2,"(D)"
162,"d","Vermont ",3,12,26500,3,5890
162,"d","Virginia ",7,"(D)","(D)",7,"(D)"
162,"d","Washington ",16,617,1062396,15,1217301
162,"d","",,,,,
162,"d","Wisconsin ",25,546,566170,16,95909
162,"d","Wyoming ",1,"(D)","(D)",1,"(D)"
162,"c",""
